dataset,backbone,direction,N_db,nlist_setting,nlist,nprobe,probed_fraction,vanilla_R10,ms_R10,pmc_R10,vanilla_R100,ms_R100,pmc_R100,pmc_gain_R100_pct,vanilla_qps,ms_qps,pmc_qps
Flickr30K-full,CLIP-L/14,text->image,31014,n64,64,4,0.0625,0.269901,0.228171,0.331892,0.355571,0.307832,0.415068,16.73,58932.41,37130.77,39570.71
Flickr30K-full,CLIP-L/14,text->image,31014,n64,64,8,0.125,0.28689,0.243403,0.358251,0.379711,0.327536,0.454477,19.69,21009.96,20784.26,22434.84
Flickr30K-full,CLIP-L/14,text->image,31014,n64,64,16,0.25,0.293803,0.250764,0.372599,0.388757,0.337676,0.476536,22.58,10360.81,10641.46,10216.58
Flickr30K-full,CLIP-L/14,text->image,31014,n64,64,32,0.5,0.292668,0.253041,0.377207,0.3869,0.340212,0.484156,25.14,5180.73,5312.12,5194.9
Flickr30K-full,CLIP-L/14,text->image,31014,n64,64,64,1.0,0.288496,0.252376,0.377181,0.379318,0.337914,0.483316,27.42,2782.44,2623.44,2572.13
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,1,0.005682,0.214864,0.17544,0.232456,0.246535,0.22091,0.240294,-2.53,239124.55,240365.13,246232.56
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,2,0.011364,0.254172,0.207464,0.286941,0.314168,0.273125,0.324491,3.29,140668.5,139552.4,138127.67
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,4,0.022727,0.281641,0.23077,0.32849,0.360978,0.309124,0.393044,8.88,77997.41,78491.93,79035.17
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,8,0.045455,0.298249,0.244854,0.355136,0.388425,0.32923,0.438694,12.94,41881.58,41594.43,41872.78
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,16,0.090909,0.306649,0.252602,0.37062,0.402745,0.339609,0.466166,15.75,20038.36,20586.97,20297.51
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,32,0.181818,0.309821,0.256645,0.379174,0.407278,0.344597,0.481736,18.28,10656.33,10273.62,10338.04
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,64,0.363636,0.309505,0.258516,0.38332,0.405103,0.345874,0.488503,20.59,5214.91,5268.16,5279.42
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,128,0.727273,0.307545,0.258667,0.384049,0.399829,0.344975,0.489283,22.37,2545.39,2557.98,2526.22
Flickr30K-full,CLIP-L/14,text->image,31014,sqrtN,176,176,1.0,0.307081,0.25869,0.383936,0.397962,0.344471,0.488906,22.85,1824.23,1797.07,1277.19
MSCOCO,CLIP-B/32,image->text,5000,n64,64,1,0.015625,0.28576,0.25702,0.32868,0.445108,0.410968,0.43352,-2.6,378498.27,353062.46,373254.11
MSCOCO,CLIP-B/32,image->text,5000,n64,64,2,0.03125,0.29816,0.27998,0.3672,0.527306,0.482488,0.542634,2.91,211552.46,209757.05,214924.35
MSCOCO,CLIP-B/32,image->text,5000,n64,64,4,0.0625,0.2964,0.29302,0.38322,0.53464,0.502244,0.593608,11.03,116058.02,115460.38,116788.05
MSCOCO,CLIP-B/32,image->text,5000,n64,64,8,0.125,0.28976,0.29796,0.3863,0.516172,0.505492,0.607818,17.75,61729.23,61875.29,62824.65
MSCOCO,CLIP-B/32,image->text,5000,n64,64,16,0.25,0.2826,0.29744,0.38408,0.493884,0.490746,0.603034,22.1,32125.15,32828.41,32756.02
MSCOCO,CLIP-B/32,image->text,5000,n64,64,32,0.5,0.27416,0.29652,0.37672,0.467746,0.47911,0.585126,25.09,16862.6,16731.88,16820.22
MSCOCO,CLIP-B/32,image->text,5000,n64,64,64,1.0,0.27014,0.29608,0.37284,0.44605,0.475556,0.571584,28.14,8570.73,8544.21,8551.98
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,1,0.014085,0.2871,0.26442,0.33586,0.4323,0.409758,0.41386,-4.27,379933.44,363678.68,344383.44
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,2,0.028169,0.30472,0.2885,0.37196,0.529358,0.485012,0.532654,0.62,206358.31,206885.99,218566.81
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,4,0.056338,0.30296,0.30028,0.38568,0.540682,0.504138,0.590564,9.23,115972.42,114420.66,118513.46
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,8,0.112676,0.29402,0.30432,0.39014,0.523684,0.502862,0.606332,15.78,63210.65,62709.21,62151.56
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,16,0.225352,0.28522,0.30482,0.38688,0.498818,0.492628,0.600624,20.41,33560.38,32378.81,33247.27
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,32,0.450704,0.27492,0.30302,0.37938,0.470192,0.481716,0.584268,24.26,16960.97,17000.34,16641.34
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,64,0.901408,0.2706,0.30188,0.37498,0.446014,0.476786,0.568976,27.57,8515.96,8596.32,8532.68
MSCOCO,CLIP-B/32,image->text,5000,sqrtN,71,71,1.0,0.2704,0.30184,0.37496,0.444436,0.476722,0.56892,28.01,7753.65,7669.73,7748.14
MSCOCO,CLIP-B/32,text->image,5000,n64,64,1,0.015625,0.34168,0.29158,0.33924,0.40825,0.359992,0.365114,-10.57,371126.36,383373.85,384582.84
MSCOCO,CLIP-B/32,text->image,5000,n64,64,2,0.03125,0.3845,0.33622,0.3972,0.525982,0.465016,0.48332,-8.11,210022.26,212905.48,221493.75
MSCOCO,CLIP-B/32,text->image,5000,n64,64,4,0.0625,0.40378,0.35994,0.43172,0.5794,0.51647,0.565342,-2.43,118803.5,116642.02,117971.83
MSCOCO,CLIP-B/32,text->image,5000,n64,64,8,0.125,0.40478,0.371,0.449,0.587968,0.53528,0.606184,3.1,63152.12,63249.75,62184.8
MSCOCO,CLIP-B/32,text->image,5000,n64,64,16,0.25,0.39658,0.3725,0.455,0.572304,0.535068,0.623202,8.89,32744.69,32810.29,32937.25
MSCOCO,CLIP-B/32,text->image,5000,n64,64,32,0.5,0.3865,0.37048,0.45364,0.545312,0.523702,0.621082,13.89,17001.26,16686.86,16302.85
MSCOCO,CLIP-B/32,text->image,5000,n64,64,64,1.0,0.37756,0.3686,0.4506,0.524082,0.514944,0.61119,16.62,8588.18,8550.93,8476.02
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,1,0.014085,0.34052,0.29124,0.34044,0.385354,0.339382,0.350412,-9.07,215841.0,167365.7,224245.42
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,2,0.028169,0.38804,0.34346,0.4037,0.518486,0.460996,0.481806,-7.07,107397.31,199284.18,215432.73
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,4,0.056338,0.4054,0.36434,0.43938,0.581916,0.517524,0.568934,-2.23,116059.37,110073.73,117534.5
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,8,0.112676,0.40738,0.37506,0.45602,0.592688,0.535912,0.611592,3.19,63734.46,63382.76,62996.97
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,16,0.225352,0.4009,0.37656,0.45964,0.577196,0.536408,0.6274,8.7,32796.35,32381.97,32755.96
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,32,0.450704,0.39108,0.37528,0.45832,0.549478,0.525146,0.625934,13.91,16849.72,16873.71,16674.41
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,64,0.901408,0.38222,0.37286,0.45524,0.527432,0.515238,0.616194,16.83,8534.33,8428.04,8555.08
MSCOCO,CLIP-B/32,text->image,5000,sqrtN,71,71,1.0,0.3813,0.37306,0.4551,0.525714,0.515012,0.615714,17.12,7766.22,7672.74,7771.84
MSCOCO,CLIP-L/14,image->text,5000,n64,64,1,0.015625,0.2802,0.29504,0.38486,0.43867,0.434272,0.453834,3.46,275353.14,272976.42,271224.69
MSCOCO,CLIP-L/14,image->text,5000,n64,64,2,0.03125,0.2934,0.32766,0.43214,0.52904,0.516168,0.571816,8.09,147772.04,150092.91,155243.34
MSCOCO,CLIP-L/14,image->text,5000,n64,64,4,0.0625,0.2887,0.34436,0.44774,0.52634,0.546246,0.635014,20.65,83005.32,82679.61,83440.55
MSCOCO,CLIP-L/14,image->text,5000,n64,64,8,0.125,0.27612,0.34448,0.44476,0.493106,0.527264,0.64332,30.46,44019.78,44372.03,44246.5
MSCOCO,CLIP-L/14,image->text,5000,n64,64,16,0.25,0.26032,0.341,0.43756,0.454144,0.502344,0.628084,38.3,22490.65,22441.93,22261.95
MSCOCO,CLIP-L/14,image->text,5000,n64,64,32,0.5,0.24352,0.33822,0.42966,0.415546,0.48492,0.60632,45.91,11420.49,11398.6,10617.03
MSCOCO,CLIP-L/14,image->text,5000,n64,64,64,1.0,0.2349,0.33806,0.42428,0.389156,0.479364,0.588278,51.17,5378.81,5671.41,5491.57
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,1,0.014085,0.28784,0.29392,0.38302,0.444836,0.42797,0.433374,-2.58,277312.51,267935.61,274631.72
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,2,0.028169,0.30208,0.33156,0.43116,0.533712,0.513784,0.564108,5.7,153448.61,148185.91,145863.6
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,4,0.056338,0.29504,0.34878,0.44992,0.535844,0.544022,0.628258,17.25,81620.93,81299.09,82075.79
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,8,0.112676,0.28004,0.35042,0.45046,0.50451,0.529794,0.6437,27.59,43471.65,43512.05,44234.67
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,16,0.225352,0.26322,0.3464,0.44444,0.465474,0.507092,0.630916,35.54,22479.47,22415.11,22653.96
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,32,0.450704,0.24376,0.343,0.43826,0.42335,0.491036,0.612694,44.73,11348.76,11260.04,11366.43
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,64,0.901408,0.22664,0.34076,0.43154,0.3869,0.482694,0.594302,53.61,5776.65,5540.56,5489.03
MSCOCO,CLIP-L/14,image->text,5000,sqrtN,71,71,1.0,0.2247,0.34074,0.43148,0.384116,0.482686,0.593628,54.54,4958.76,5050.38,4976.56
MSCOCO,CLIP-L/14,text->image,5000,n64,64,1,0.015625,0.32404,0.30754,0.38286,0.403198,0.405972,0.417106,3.45,271535.47,270169.51,259173.45
MSCOCO,CLIP-L/14,text->image,5000,n64,64,2,0.03125,0.37136,0.34554,0.44038,0.53062,0.498694,0.53761,1.32,152722.59,152754.78,149084.17
MSCOCO,CLIP-L/14,text->image,5000,n64,64,4,0.0625,0.38074,0.36118,0.46528,0.569932,0.530744,0.607362,6.57,82550.89,83323.89,83392.26
MSCOCO,CLIP-L/14,text->image,5000,n64,64,8,0.125,0.37328,0.36612,0.47566,0.563456,0.536754,0.638886,13.39,44424.82,43525.61,43845.84
MSCOCO,CLIP-L/14,text->image,5000,n64,64,16,0.25,0.36418,0.36676,0.47718,0.54071,0.531732,0.648122,19.86,22612.05,22632.66,22393.11
MSCOCO,CLIP-L/14,text->image,5000,n64,64,32,0.5,0.35562,0.3646,0.47564,0.513708,0.520784,0.645146,25.59,11431.45,11274.07,11394.19
MSCOCO,CLIP-L/14,text->image,5000,n64,64,64,1.0,0.35158,0.36322,0.4734,0.497138,0.513892,0.638196,28.37,5617.21,5478.5,5680.63
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,1,0.014085,0.32474,0.30802,0.3795,0.39406,0.402558,0.391274,-0.71,275104.68,274784.17,276175.95
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,2,0.028169,0.372,0.34858,0.4415,0.529888,0.50259,0.527206,-0.51,152937.94,153167.5,140368.21
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,4,0.056338,0.38134,0.3639,0.47028,0.574246,0.53363,0.605102,5.37,78551.51,81218.54,79820.95
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,8,0.112676,0.37218,0.3689,0.47964,0.569152,0.540088,0.639626,12.38,43967.91,42661.46,43771.22
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,16,0.225352,0.36164,0.36852,0.48158,0.54573,0.534414,0.65139,19.36,21455.49,22369.13,22559.94
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,32,0.450704,0.35216,0.36684,0.48034,0.517286,0.522736,0.64943,25.55,11357.9,11367.59,11430.12
MSCOCO,CLIP-L/14,text->image,5000,sqrtN,71,64,0.901408,0.34712,0.36564,0.47904,0.49974,0.514532,0.643158,28.7,5518.0,5628.31,5514.34
