dataset,backbone,direction,index_type,mode,seed,r10,r100,gap_norm,db_mean_norm,query_mean_norm,gt_protocol,note
mscoco,clip-b32,image2text,ivf_rabitq,query_only,,0.313780,0.495434,0.824388,0.712861,0.701497,original_exact_ip,normalized query-side shift only
mscoco,clip-b32,image2text,binary_flat,db_only,,0.394520,0.567536,0.824388,0.702526,0.686422,original_exact_ip,normalized DB-side PMC alpha=1
mscoco,clip-b32,image2text,ivf_rabitq,db_only,,0.413000,0.608346,0.824388,0.702526,0.686422,original_exact_ip,normalized DB-side PMC alpha=1
mscoco,clip-b32,image2text,binary_flat,both,,0.394960,0.568664,0.824388,0.630295,0.615197,original_exact_ip,normalized split correction alpha=0.5
mscoco,clip-b32,image2text,ivf_rabitq,both,,0.362020,0.553544,0.824388,0.630295,0.615197,original_exact_ip,normalized split correction alpha=0.5
mscoco,clip-b32,image2text,binary_flat,query_only_no_norm,,0.393940,0.571876,0.824388,0.712861,0.712861,original_exact_ip,query-side shift without post-shift L2 normalization
mscoco,clip-b32,image2text,ivf_rabitq,query_only_no_norm,,0.318140,0.498422,0.824388,0.712861,0.712861,original_exact_ip,query-side shift without post-shift L2 normalization
mscoco,clip-b32,image2text,binary_flat,db_only_no_norm,,0.393940,0.571876,0.824388,0.686422,0.686422,original_exact_ip,DB-side shift without post-shift L2 normalization
mscoco,clip-b32,image2text,ivf_rabitq,db_only_no_norm,,0.324720,0.520050,0.824388,0.686422,0.686422,original_exact_ip,DB-side shift without post-shift L2 normalization
mscoco,clip-b32,image2text,binary_flat,both_no_norm,,0.393940,0.571876,0.824388,0.565481,0.565481,original_exact_ip,split correction without post-shift L2 normalization
mscoco,clip-b32,image2text,ivf_rabitq,both_no_norm,,0.317440,0.506354,0.824388,0.565481,0.565481,original_exact_ip,split correction without post-shift L2 normalization
mscoco,clip-b32,image2text,binary_flat,sign_flipped_gap,,0.209440,0.393328,0.824388,0.891030,0.686422,original_exact_ip,"same gap magnitude but opposite direction, DB-side"
mscoco,clip-b32,image2text,ivf_rabitq,sign_flipped_gap,,0.269260,0.490930,0.824388,0.891030,0.686422,original_exact_ip,"same gap magnitude but opposite direction, DB-side"
mscoco,clip-b32,image2text,binary_flat,random_direction_same_norm,0,0.254760,0.423556,0.824388,0.846150,0.686422,original_exact_ip,DB-side random direction with same norm as gap
mscoco,clip-b32,image2text,ivf_rabitq,random_direction_same_norm,0,0.327260,0.558624,0.824388,0.846150,0.686422,original_exact_ip,DB-side random direction with same norm as gap
