method,alpha,nprobe,r1,r10,r100,qps,bytes_per_vec,n_db,d,seed
vanilla_rabitq,0.0,1,0.117,0.1776,0.2492,10474.8,33,1000000,200,42
vanilla_rabitq,0.0,4,0.137,0.231,0.3385,4989.8,33,1000000,200,42
vanilla_rabitq,0.0,16,0.137,0.2366,0.3563,1843.6,33,1000000,200,42
vanilla_rabitq,0.0,64,0.119,0.2249,0.3447,562.2,33,1000000,200,42
vanilla_rabitq,0.0,128,0.117,0.2232,0.3388,283.3,33,1000000,200,42
pmc_1.00,1.0,1,0.118,0.1812,0.2542,10842.6,33,1000000,200,42
pmc_1.00,1.0,4,0.146,0.2307,0.3438,4741.1,33,1000000,200,42
pmc_1.00,1.0,16,0.134,0.2399,0.3632,1861.6,33,1000000,200,42
pmc_1.00,1.0,64,0.122,0.2324,0.3531,550.0,33,1000000,200,42
pmc_1.00,1.0,128,0.118,0.2272,0.3476,284.8,33,1000000,200,42
vanilla_rabitq_meanshift,0.0,1,0.111,0.1723,0.2485,11150.6,33,1000000,200,42
vanilla_rabitq_meanshift,0.0,4,0.137,0.2191,0.3327,4827.4,33,1000000,200,42
vanilla_rabitq_meanshift,0.0,16,0.133,0.2312,0.3479,1879.9,33,1000000,200,42
vanilla_rabitq_meanshift,0.0,64,0.119,0.2214,0.3367,531.0,33,1000000,200,42
vanilla_rabitq_meanshift,0.0,128,0.115,0.2196,0.3317,257.3,33,1000000,200,42
