method,alpha,nprobe,direction,r1,r10,r100,nn_r10,nn_r100,qps,bytes_per_vec,n_vectors,d,seed
pmc_1.00,1.0,8,image->text,0.2048,0.3864,0.6079,0.6024,0.9292,2645.8,72,5000,512,42
pmc_1.00,1.0,16,image->text,0.2066,0.3843,0.6032,0.6078,0.9456,1334.8,72,5000,512,42
pmc_1.00,1.0,32,image->text,0.205,0.3773,0.5853,0.6034,0.9482,717.1,72,5000,512,42
pmc_1.00,1.0,64,image->text,0.2028,0.3729,0.5717,0.5994,0.948,330.4,72,5000,512,42
ivfpq_meanshift_64B,0.0,1,image->text,0.1804,0.3036,0.396,0.4196,0.5846,3525.7,64,5000,512,42
ivfpq_meanshift_64B,0.0,2,image->text,0.2074,0.3491,0.4878,0.5016,0.7212,3057.0,64,5000,512,42
ivfpq_meanshift_64B,0.0,4,image->text,0.228,0.3776,0.5392,0.557,0.8052,2882.8,64,5000,512,42
ivfpq_meanshift_64B,0.0,8,image->text,0.2394,0.392,0.5687,0.5922,0.8608,2145.9,64,5000,512,42
ivfpq_meanshift_64B,0.0,16,image->text,0.2446,0.3985,0.5876,0.611,0.8976,1558.2,64,5000,512,42
ivfpq_meanshift_64B,0.0,32,image->text,0.246,0.4001,0.5943,0.6136,0.9062,1064.6,64,5000,512,42
ivfpq_meanshift_64B,0.0,64,image->text,0.246,0.4002,0.5955,0.6138,0.9072,653.6,64,5000,512,42
