dataset,backbone,source,dim,gap_norm,top1pct,top2pct,top5pct,top10pct,top20pct,top50pct
MSCOCO,CLIP-B/32,small,512,7.708484638813146,0.7849321780047984,0.8230295032658708,0.8637313912674912,0.9014992197923966,0.9431318129918128,0.9898105175805657
MSCOCO,CLIP-L/14,small,768,13.914386351964177,0.7764765584017476,0.823738767591916,0.867110020488149,0.9010020042732222,0.9405759103570754,0.9889078034753644
MSCOCO,ImageBind,small,1024,46.507027863348036,0.44007157119572626,0.5277528614145272,0.642336393372083,0.7406046462478654,0.8471904098785108,0.9721196898731749
Flickr30K,CLIP-B/32,small,512,7.1399369944377895,0.749019351817147,0.7800639698571117,0.8268939656995156,0.8706816222134467,0.9239594331787168,0.986713563745132
Flickr30K,CLIP-L/14,small,768,13.229426302463255,0.7327505553779541,0.7704916554850432,0.8200825579154762,0.8649517892258517,0.918698766532833,0.9848769767852595
AudioCaps,ImageBind,small,1024,57.09027114771361,0.4240008309218216,0.4857449055323014,0.5956821709023399,0.6971847971139871,0.817620968009043,0.9608687147848687
Clotho,ImageBind,small,1024,54.835910182435335,0.47660370382185113,0.5328584946124644,0.6321582704854014,0.7267609275898149,0.8378170845819694,0.9701058298068458
