backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,ivfpq_pmc_1.00,1.0,image->text,16,1000,0.9649,0.9027,773.47,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,16,0,0.532,0.6699,67758.67,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,16,100,0.9394,0.6699,8934.13,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,16,200,0.9408,0.8208,4511.84,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,16,500,0.9407,0.8438,2999.09,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,16,1000,0.9408,0.8438,694.7,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,16,0,0.4857,0.6654,60353.16,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,16,100,0.9133,0.6654,8441.66,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,16,200,0.9465,0.8147,6177.92,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,16,500,0.9614,0.8882,2985.1,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,16,1000,0.9652,0.9039,639.83,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,image->text,64,0,0.3144,0.4949,22154.72,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,image->text,64,100,0.9006,0.4949,6678.66,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,image->text,64,200,0.9711,0.7121,5082.2,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,image->text,64,500,0.9967,0.9179,3171.72,64,5000,512,42
clip,mscoco,ivfpq_vanilla,0.0,image->text,64,1000,0.9993,0.9851,715.56,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,0,0.4762,0.6527,18031.27,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,100,0.9265,0.6527,6653.03,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,200,0.9644,0.8283,7203.6,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,500,0.9878,0.942,3233.08,64,5000,512,42
clip,mscoco,ivfpq_pmc_1.00,1.0,image->text,64,1000,0.9955,0.9785,803.51,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,64,0,0.5415,0.6974,20785.51,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,64,100,0.9945,0.6974,6812.93,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,64,200,0.9991,0.9122,5393.69,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,64,500,0.9994,0.9948,3939.29,64,5000,512,42
clip,mscoco,opq_vanilla,0.0,image->text,64,1000,0.9994,0.9998,778.71,64,5000,512,42
clip,mscoco,opq_pmc_1.00,1.0,image->text,64,0,0.4891,0.6799,21258.86,64,5000,512,42
