backbone,dataset,method,alpha,direction,nprobe,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,0,0.2961,0.4756,7536.95,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,100,0.7205,0.4756,4927.84,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,200,0.8089,0.6157,4806.31,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,500,0.8965,0.7736,3597.0,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,1000,0.9473,0.8716,1018.77,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,0,0.3728,0.5716,7140.69,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,100,0.8673,0.5716,4390.49,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,200,0.9352,0.7473,3934.05,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,500,0.9809,0.8999,2844.94,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,1000,0.9947,0.9642,876.59,72,5000,512,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,0,0.3642,0.5407,19474.92,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,100,0.8457,0.5407,6877.55,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,200,0.916,0.7183,5459.5,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,500,0.9582,0.8715,1189.88,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,16,1000,0.9704,0.9214,685.81,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,0,0.3668,0.5317,18702.1,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,100,0.8134,0.5317,7102.77,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,200,0.8872,0.6848,5565.2,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,500,0.9421,0.8302,1271.38,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,16,1000,0.9629,0.8975,683.2,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,0,0.4772,0.6481,18785.02,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,100,0.9221,0.6481,6925.92,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,200,0.9547,0.811,5524.92,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,500,0.9653,0.8942,1274.21,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,16,1000,0.9679,0.9079,676.1,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,0,0.3516,0.4971,4612.46,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,100,0.8162,0.4971,3180.22,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,200,0.8922,0.6562,2904.92,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,500,0.9525,0.8196,1082.14,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,64,1000,0.9774,0.9096,601.63,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,0,0.3632,0.5139,4630.48,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,100,0.7973,0.5139,3179.39,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,200,0.8691,0.6551,2832.9,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,500,0.9306,0.7941,1010.51,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,1000,0.962,0.8789,603.62,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,0,0.4734,0.6382,4565.18,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,100,0.9287,0.6382,3177.92,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,200,0.968,0.8079,2841.78,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,500,0.9891,0.9272,1033.22,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,64,1000,0.9952,0.9718,588.36,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,0,0.2603,0.4541,18550.41,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,100,0.7156,0.4541,7013.7,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,200,0.831,0.6179,6377.24,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,500,0.9396,0.8205,1264.92,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,image->text,16,1000,0.9822,0.933,679.3,104,5000,768,42
