backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,1000,0.903,0.8166,1818.72,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,0,0.3901,0.6063,57904.48,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,100,0.8666,0.6063,13613.29,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,200,0.9101,0.7579,11581.54,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,500,0.9236,0.8292,7434.29,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,1000,0.9237,0.8317,2003.7,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,0,0.2852,0.4988,33437.99,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,100,0.7442,0.4988,11789.26,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,200,0.8509,0.6649,9964.66,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,500,0.9477,0.8535,6267.5,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,1000,0.9775,0.9373,1437.79,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,0,0.3048,0.4926,32142.43,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,100,0.733,0.4926,11477.04,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,200,0.8257,0.6384,10005.38,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,500,0.9102,0.7983,6415.93,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,1000,0.9481,0.8804,1477.38,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,0,0.3869,0.6006,26821.72,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,100,0.8767,0.6006,11932.73,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,200,0.9345,0.7715,9707.53,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,500,0.9627,0.89,6457.3,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,1000,0.9653,0.9147,1473.6,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,0,0.2706,0.446,9539.67,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,100,0.6958,0.446,5609.68,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,200,0.7985,0.5925,5753.63,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,500,0.896,0.759,4201.34,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,64,71,1000,0.9487,0.8649,1283.48,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,0,0.3019,0.4768,8521.94,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,100,0.7201,0.4768,6306.71,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,200,0.8088,0.6147,5687.74,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,500,0.8971,0.7718,4163.96,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,64,71,1000,0.9468,0.8714,1286.35,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,0,0.375,0.569,9351.14,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,100,0.8662,0.569,5547.66,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,200,0.9351,0.7455,5675.38,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,500,0.9804,0.8993,3922.9,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,64,71,1000,0.9949,0.9647,1273.04,72,5000,512,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,0,0.3722,0.5692,43494.98,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,100,0.8512,0.5692,12297.71,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,200,0.9039,0.7362,9003.73,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,500,0.9275,0.8328,2039.03,104,5000,768,42
clip-l,mscoco,vanilla_rabitq,0.0,text->image,8,71,1000,0.9294,0.8396,1553.6,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,0,0.3689,0.5401,40174.91,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,100,0.8154,0.5401,11749.59,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,200,0.8808,0.6918,9301.29,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,500,0.9221,0.8074,2039.61,104,5000,768,42
clip-l,mscoco,vanilla_rabitq_meanshift,0.0,text->image,8,71,1000,0.928,0.8269,1407.22,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,0,0.4796,0.6396,39362.18,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,100,0.8931,0.6396,12465.03,104,5000,768,42
clip-l,mscoco,pmc_1.00,1.0,text->image,8,71,200,0.915,0.7704,9361.96,104,5000,768,42
