backbone,dataset,method,alpha,direction,nprobe,nlist,rerank_k,r10,r100,qps,bytes_per_vec,n_vectors,d,seed
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,100,0.8435,0.5274,5129.38,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,200,0.911,0.6914,4261.59,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,250,0.9277,0.7345,4599.43,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,300,0.9395,0.7669,4260.0,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,350,0.9478,0.7926,3909.17,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,400,0.9542,0.8138,3916.88,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,450,0.9601,0.8316,3560.77,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,text->image,64,71,500,0.964,0.8469,3484.36,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,0,0.3728,0.5152,8382.88,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,100,0.81,0.5152,5048.32,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,200,0.8848,0.6725,4446.54,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,250,0.903,0.7144,3985.84,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,300,0.9161,0.7457,4554.47,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,350,0.9255,0.7704,4451.1,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,400,0.9341,0.7906,4346.08,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,450,0.9405,0.8079,4051.0,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,text->image,64,71,500,0.9464,0.8226,4175.32,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,0,0.4552,0.6162,8550.36,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,100,0.9206,0.6162,5908.3,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,200,0.9655,0.7965,5207.84,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,250,0.9738,0.8372,5043.19,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,300,0.9795,0.8662,4696.34,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,350,0.9835,0.8878,4405.1,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,400,0.9865,0.904,4199.36,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,450,0.9884,0.9165,4287.56,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,text->image,64,71,500,0.9901,0.927,3565.88,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,0,0.294,0.5237,56247.21,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,100,0.7667,0.5237,14194.06,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,200,0.8705,0.6955,10769.86,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,250,0.8955,0.7441,8954.19,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,300,0.912,0.7788,9284.29,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,350,0.923,0.8041,8580.22,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,400,0.9301,0.8224,8016.4,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,450,0.9351,0.8358,7525.11,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,8,71,500,0.9385,0.8448,7034.54,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,0,0.3043,0.5029,45433.23,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,100,0.7374,0.5029,13874.16,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,200,0.8239,0.6488,11205.82,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,250,0.8454,0.6892,10273.68,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,300,0.8599,0.7189,9369.61,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,350,0.8706,0.7413,8339.41,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,400,0.8788,0.7584,8117.56,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,450,0.885,0.7721,7653.96,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,8,71,500,0.8899,0.7831,7114.32,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,0,0.3901,0.6063,49611.79,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,100,0.8666,0.6063,13873.83,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,200,0.9101,0.7579,10988.81,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,250,0.9166,0.7869,10094.79,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,300,0.9202,0.8044,9393.2,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,350,0.922,0.8155,8686.71,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,400,0.9229,0.8225,8227.9,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,450,0.9234,0.8268,7640.12,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,8,71,500,0.9236,0.8292,7144.61,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,0,0.2852,0.4988,28458.75,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,100,0.7442,0.4988,11368.82,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,200,0.8509,0.6649,9617.54,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,250,0.878,0.7146,8680.13,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,300,0.8996,0.754,8228.54,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,350,0.9154,0.7859,7690.77,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,400,0.9288,0.8123,7257.78,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,450,0.939,0.8345,6798.54,72,5000,512,42
clip,mscoco,vanilla_rabitq,0.0,image->text,16,71,500,0.9477,0.8535,6537.97,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,0,0.3048,0.4926,26559.18,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,100,0.733,0.4926,11526.13,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,200,0.8257,0.6384,9318.96,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,250,0.8494,0.6806,8516.81,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,300,0.8673,0.7141,8288.31,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,350,0.8819,0.7411,7798.64,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,400,0.8933,0.7634,7190.45,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,450,0.9026,0.7822,6379.13,72,5000,512,42
clip,mscoco,vanilla_rabitq_meanshift,0.0,image->text,16,71,500,0.9102,0.7983,6207.95,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,0,0.3869,0.6006,28738.51,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,100,0.8767,0.6006,11874.95,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,200,0.9345,0.7715,9174.96,72,5000,512,42
clip,mscoco,pmc_1.00,1.0,image->text,16,71,250,0.945,0.8114,9113.14,72,5000,512,42
